Company,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,SIC Codes,Short Description,Founded Year,employees_numeric,Company_Size_Category,revenue_numeric,Industry_Category_Standardized,Country_Standardized,Geographic_Reach_Category_Standardized,Combined_Description,description_language_sample
FatzerImbach AG,16,marketing & advertising,http://www.fatzerimbach.ch,http://www.linkedin.com/company/fatzerimbach-ag,,,40 Grubenstrasse,Zurich,Zurich,Switzerland,8045,"40 Grubenstrasse, Zurich, Zurich, Switzerland, 8045","healthcare communication, agency, public relations, veeva multichannel crm partner, consulting, kommunikation, marketing, healthcare, pharma, pharma & healthcare, media services",'+41 44 227 11 11,We engage in intelligent communication concepts. Creative multi-disciplinary approaches and reliable processes for print and digital campaigns or events.,"Outlook, Amazon AWS, Mobile Friendly, Google Tag Manager, Typekit, Basis",,,,,,,FatzerImbach is a partner-led communication agency and we stand for intelligent concepts and implement them powerfully and efficiently. We combine creativity with reliable processes and multi-disciplinary approaches. Our accomplishments are demonstrated by our economic success and the strong partnerships with our clients.,2003,16,Nov-50,,Digital Marketing Agency / Web Development,Switzerland,National (Switzerland),FatzerImbach is a partner-led communication agency and we stand for intelligent concepts and implement them powerfully and efficiently. We combine creativity with reliable processes and multi-disciplinary approaches. Our accomplishments are demonstrated by our economic success and the strong partnerships with our clients.. We engage in intelligent communication concepts. Creative multi-disciplinary approaches and reliable processes for print and digital campaigns or events.,
Volkshaus Basel Betriebs AG,29,hospitality,http://www.volkshaus-basel.ch,http://www.linkedin.com/company/volkshaus-basel-betriebs-ag,https://www.facebook.com/volkshausbasel,,12 Rebgasse,Basel,Basel-Stadt,Switzerland,4058,"12 Rebgasse, Basel, Basel-Stadt, Switzerland, 4058","event, gastronomie, trauerfeier, kultur, bar, hotel, brasserie, apero, meeting, hochzeit, private feiern, musik, weihnachtsessen, konzert, seminar, brasseries, french, restaurants",'+41 61 690 93 10,"Das Volkshaus Basel ist Ihre kleine Stadt in der Stadt: Feste feiern, fein essen in der Brasserie, Cocktails trinken und im Boutique-Hotel übernachten.","Rackspace MailGun, SendInBlue, Outlook, WordPress.org, Google Tag Manager, Google Font API, Mobile Friendly, Nginx, Gravity Forms, Remote",,,,,,,"Für an Begegnungen, Genuss, Architektur, Kunst und Kultur interessierte Menschen ist das Volkshaus Basel das Herz von Basel. Gastfreundschaft, Weltoffenheit, Tradition und Innovation prägen unsere Werte.
 
Mitten im urbanen und lebendigen Stadtviertel Kleinbasel gelegen und prall gefüllt mit pulsierenden Inhalten hat sich das Volkshaus Basel seit 1925 als Institution für Gastronomie, Events und Hotellerie einen Namen gemacht – kulinarischer Genuss, nachhaltige Erholung, atemberaubende Architektur von Herzog & de Meuon, inspirierende Kunst und Begegnungen, die in Erinnerung bleiben.
 
Mitarbeiter mit Herzblut prägen die persönliche Servicekultur im ganzen Haus und versuchen ihren Gästen jeden Tag die Maxime ihrer Motivation spüren zu lassen: Freude schenken, Freude erleben.

""Boutique at its best - a category of its own""

Das Boutique-Hotel im Volkshaus Basel ist ausgelegt auf die Individualität und Bedürfnisse seiner Gäste. Wir machen Erstaunliches möglich und schaffen einen urbanen Ort der Entspannung und moderner Gastfreundschaft mitten im lebendigsten Stadtviertel Basels.

Architektonische Grosszügigkeit und behutsamer Umgang mit historischer Bausubstanz prägen die Grundrisse unserer 45 Zimmer, die Luxus und reduzierte Einfachheit zu einem Hotelprodukt zusammenführen, das in der Schweiz einmalig ist. Gestaltet von Herzog & de Meuron und versehen mit einem zeitgenössischen Kunstkonzept schafft das Volkshaus sein eigenes Qualitätsniveau.

Mit unseren historischen Sälen, dem baumbedeckten Innenhof und einem auf Individualität, Kreativität und Qualität getrimmten Inhouse-Catering-Team wird jeder Anlass zum einmaligen Erlebnis. In diesem Sinne garantieren wir Ihnen und Ihren Gästen unsere volle Aufmerksamkeit und eine unvergleichliche persönliche Betreuung, von der ersten Kontaktnahme bis zum Wiedersehen.",2012,29,Nov-50,,Retail Technology / Hospitality Technology,Switzerland,National (Switzerland),"Für an Begegnungen, Genuss, Architektur, Kunst und Kultur interessierte Menschen ist das Volkshaus Basel das Herz von Basel. Gastfreundschaft, Weltoffenheit, Tradition und Innovation prägen unsere Werte.
 
Mitten im urbanen und lebendigen Stadtviertel Kleinbasel gelegen und prall gefüllt mit pulsierenden Inhalten hat sich das Volkshaus Basel seit 1925 als Institution für Gastronomie, Events und Hotellerie einen Namen gemacht – kulinarischer Genuss, nachhaltige Erholung, atemberaubende Architektur von Herzog & de Meuon, inspirierende Kunst und Begegnungen, die in Erinnerung bleiben.
 
Mitarbeiter mit Herzblut prägen die persönliche Servicekultur im ganzen Haus und versuchen ihren Gästen jeden Tag die Maxime ihrer Motivation spüren zu lassen: Freude schenken, Freude erleben.

""Boutique at its best - a category of its own""

Das Boutique-Hotel im Volkshaus Basel ist ausgelegt auf die Individualität und Bedürfnisse seiner Gäste. Wir machen Erstaunliches möglich und schaffen einen urbanen Ort der Entspannung und moderner Gastfreundschaft mitten im lebendigsten Stadtviertel Basels.

Architektonische Grosszügigkeit und behutsamer Umgang mit historischer Bausubstanz prägen die Grundrisse unserer 45 Zimmer, die Luxus und reduzierte Einfachheit zu einem Hotelprodukt zusammenführen, das in der Schweiz einmalig ist. Gestaltet von Herzog & de Meuron und versehen mit einem zeitgenössischen Kunstkonzept schafft das Volkshaus sein eigenes Qualitätsniveau.

Mit unseren historischen Sälen, dem baumbedeckten Innenhof und einem auf Individualität, Kreativität und Qualität getrimmten Inhouse-Catering-Team wird jeder Anlass zum einmaligen Erlebnis. In diesem Sinne garantieren wir Ihnen und Ihren Gästen unsere volle Aufmerksamkeit und eine unvergleichliche persönliche Betreuung, von der ersten Kontaktnahme bis zum Wiedersehen.. Das Volkshaus Basel ist Ihre kleine Stadt in der Stadt: Feste feiern, fein essen in der Brasserie, Cocktails trinken und im Boutique-Hotel übernachten.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
